,request_type_title,num_issues,num_closed,median_days_create_to_close,sla_days_to_close,perc_within_sla,num_reopened
0,Abandoned Vehicle,57.0,26.0,1.8302083333333332,5,100.0,0.0
1,Blocked Catch Basin,36.0,0.0,,1,,0.0
2,Curbside Solid Waste Issue,81.0,59.0,2.0859953703703704,7,96.61016949152543,1.0
3,DPW - Debris Removal - DPW USE ONLY,75.0,14.0,6.833489583333334,0,0.0,1.0
4,DPW - Other environmental,108.0,85.0,1.2584375,0,0.0,0.0
5,Dead Animal Removal,29.0,29.0,0.00047453703703703704,3,100.0,0.0
6,Fire Hydrant Issue,5.0,0.0,,1,,0.0
7,Illegal Dumping / Illegal Dump Sites,102.0,62.0,2.105185185185185,10,100.0,2.0
8,Manhole Cover Issue,10.0,4.0,0.4208159722222222,1,75.0,0.0
9,New LED Street Light Out,34.0,21.0,1.7531828703703705,7,100.0,0.0
10,Park Issue,1.0,0.0,,0,,0.0
11,Potholes,93.0,80.0,0.8283159722222222,5,100.0,6.0
12,Running Water in a Home or Building,22.0,16.0,0.7132986111111113,1,56.25,0.0
13,Street Light Pole Down,9.0,9.0,0.8416550925925926,2,100.0,1.0
14,Traffic Sign Issue,41.0,19.0,4.604525462962963,7,100.0,0.0
15,Traffic Signal Issue,40.0,29.0,0.3031597222222222,14,100.0,0.0
16,Tree Issue,258.0,137.0,2.080578703703704,14,100.0,2.0
17,Water Main Break,26.0,9.0,0.5312731481481482,1,66.66666666666666,0.0
18,Residential Snow Removal Issue,,,,1,,
